"STATION","NAME","DATE","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-22",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-24",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-25","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-26","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-29","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-30","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-01","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-06","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-08","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-09","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-10","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-16",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-17","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-18","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-22",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-24",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-25",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-26","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-27","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-29","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-04","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-08",,,,
